Timestamp,XT,Weekday,Holiday,XTForecastEstimation
2018-02-20 10:00:00,4838.811490929,2,0,4687.5343509494905
2018-02-20 11:00:00,4899.362727389001,2,0,4799.063951048135
2018-02-20 12:00:00,4952.0831038040005,2,0,4859.674515123501
2018-02-20 13:00:00,4935.959486573,2,0,4821.352658502117
2018-02-20 14:00:00,4820.385438469,2,0,4639.2835356373735
2018-02-20 15:00:00,5056.768013393,2,0,4847.133216289456
2018-02-20 16:00:00,5010.150218846,2,0,4807.12379966083
2018-02-20 17:00:00,4953.842783186999,2,0,4789.217872178646
2018-02-20 18:00:00,5437.480193097,2,0,5388.32715176078
2018-02-20 19:00:00,5714.644218762,2,0,5699.370932208714
2018-02-20 20:00:00,5656.813777419,2,0,5660.31942227613
2018-02-20 21:00:00,5278.796702678001,2,0,5265.522970245875
2018-02-20 22:00:00,4686.094330579,2,0,4685.491025513775
2018-02-20 23:00:00,4197.417709874,2,0,4153.096028774047
2018-02-21 00:00:00,3542.9374694059998,3,0,3539.999291080847
2018-02-21 01:00:00,2980.495614496,3,0,3006.703576197778
2018-02-21 02:00:00,2923.598364807,3,0,2958.5754790643177
2018-02-21 03:00:00,2772.960908123,3,0,2794.0664994313956
2018-02-21 04:00:00,2676.472808065,3,0,2714.856242571435
2018-02-21 05:00:00,2743.1652481150004,3,0,2776.150849530234
2018-02-21 06:00:00,3111.92846498,3,0,3129.8796388269793
2018-02-21 07:00:00,3725.519690328,3,0,3793.5047044177386
2018-02-21 08:00:00,4109.970967989,3,0,4147.162575617917
2018-02-21 09:00:00,4508.7859682749995,3,0,4550.16048339913
2018-02-21 10:00:00,4634.672005312,3,0,4698.742898116563
2018-02-21 11:00:00,4646.393548481,3,0,4704.139682672409
2018-02-21 12:00:00,4683.080055495,3,0,4734.478168503028
2018-02-21 13:00:00,4655.367403822001,3,0,4707.5817929529485
2018-02-21 14:00:00,4525.029931191,3,0,4550.5568801465
2018-02-21 15:00:00,4681.2810737810005,3,0,4719.325536169224
2018-02-21 16:00:00,4586.334434803999,3,0,4653.174956198516
2018-02-21 17:00:00,4511.489887817,3,0,4588.33047272779
2018-02-21 18:00:00,5064.3186603780005,3,0,5168.053702826211
2018-02-21 19:00:00,5445.210444278,3,0,5536.390747683741
2018-02-21 20:00:00,5425.065147557,3,0,5513.098366907103
